id,url,skills,input_url,warning,warning_code,error
kevin-benedict-6bb48179,https://www.linkedin.com/in/kevin-benedict-6bb48179,"[""Oracle Database 12c: Advanced SQL"",""Learning Oracle Database 12c"",""Oracle Cloud Data Management Foundations Workshop""]",https://www.linkedin.com/in/kevin-benedict-6bb48179,,,
sidian-jessie-liu-34695485,https://www.linkedin.com/in/sidian-jessie-liu-34695485,"[""LinkedIn Learning Highlights: Data Science and Analytics"",""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""Supervised Learning Essential Training""]",https://www.linkedin.com/in/sidian-jessie-liu-34695485,,,
ahmed-garba-2bb50a82,https://www.linkedin.com/in/ahmed-garba-2bb50a82,"[""SQL Server Integration Services"",""Implementing a Data Warehouse SQL Server 2019"",""Power BI Data Modeling with DAX""]",https://www.linkedin.com/in/ahmed-garba-2bb50a82,,,
seanridge,https://www.linkedin.com/in/seanridge,"[""Statistical Analysis with Wolfram Language"",""Text Analytics and Predictions with Python Essential Training"",""Machine Learning and AI Foundations: Recommendations""]",https://www.linkedin.com/in/seanridge,,,
dpang23,https://www.linkedin.com/in/dpang23,[],https://www.linkedin.com/in/dpang23,,,
michaelene-johnson-mba-72975417,https://www.linkedin.com/in/michaelene-johnson-mba-72975417,"[""Transition from Data Science to Data Engineering"",""SQL Server Integration Services"",""Power BI Top Skills""]",https://www.linkedin.com/in/michaelene-johnson-mba-72975417,,,
ron-harshfield-9043ba8,https://www.linkedin.com/in/ron-harshfield-9043ba8,"[""SAS Essential Training: 1 Descriptive Analysis for Healthcare Research"",""Lead Generation: Multichannel PPC Strategy"",""Marketing Automation: How to Build a Successful Campaign""]",https://www.linkedin.com/in/ron-harshfield-9043ba8,,,
anitha-k-swaroopa-965067210,https://www.linkedin.com/in/anitha-k-swaroopa-965067210,"[""Planning a Microsoft Azure Solution"",""Azure Spark Databricks Essential Training"",""Implementing a Data Warehouse SQL Server 2019""]",https://www.linkedin.com/in/anitha-k-swaroopa-965067210,,,
seshasai-s-a9044b220,https://www.linkedin.com/in/seshasai-s-a9044b220,"[""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""Hands-On Data Science: 1 Analyzing Employee Data with SQL"",""Hadoop for Data Science Tips, Tricks, & Techniques""]",https://www.linkedin.com/in/seshasai-s-a9044b220,,,
nathan-k-74a8a391,https://www.linkedin.com/in/nathan-k-74a8a391,"[""Predictive Customer Analytics"",""Python vs. JavaScript for Development"",""Business Analysis: Essential Tools and Techniques""]",https://www.linkedin.com/in/nathan-k-74a8a391,,,
huiying-lu-173b401a5,https://www.linkedin.com/in/huiying-lu-173b401a5/en,[],https://www.linkedin.com/in/huiying-lu-173b401a5,,,
lakshmi-sanjana-k-79210814b,https://www.linkedin.com/in/lk01,"[""AI Projects with Python, TensorFlow, and NLTK"",""Introduction to AWS DeepLens"",""AWS Machine Learning: Building an Expense Tracker Using Amazon Textract""]",https://www.linkedin.com/in/lakshmi-sanjana-k-79210814b,,,
zane-petras-59819a122,https://www.linkedin.com/in/zapetras,"[""Machine Learning and AI Foundations: Clustering and Association"",""AI and Data Science for SQL Developers: From Beginner to Advanced"",""Python for Data Engineering: from Beginner to Advanced""]",https://www.linkedin.com/in/zane-petras-59819a122,,,
vatipham,https://mn.linkedin.com/in/maipham279,"[""Learning H20.ai"",""AI Workshop: Build a Neural Network with PyTorch Lightning"",""TensorFlow 2.0: Working with Images""]",https://www.linkedin.com/in/vatipham,,,
michael-fonseca-b693922,https://www.linkedin.com/in/michael-fonseca-b693922,"[""Certified Information Security Manager (CISM) Cert Prep (2022): 2 Information Security Risk Management"",""IT Service Desk: Service Management"",""Leading in Government""]",https://www.linkedin.com/in/michael-fonseca-b693922?_l=en_us,,,
etldba,https://www.linkedin.com/in/etldba,"[""Microsoft Azure Synapse for Developers: Scaling Configuration"",""Introduction to Data Warehouses"",""Implementing a Data Warehouse with SQL Server 2022""]",https://www.linkedin.com/in/etldba,,,
james-belmonte-6a6162133,https://www.linkedin.com/in/james-belmonte-6a6162133,"[""AutoML: Build Production-Ready Models Quickly!"",""AI and Data Science for SQL Developers: From Beginner to Advanced"",""Supervised Learning Essential Training""]",https://www.linkedin.com/in/james-belmonte-6a6162133,,,
venkata999,https://www.linkedin.com/in/venkata999,"[""Oracle Database 19c: Multitenant Architecture"",""Oracle Cloud Data Management Foundations Workshop"",""Oracle Base Database Services Professional Workshop""]",https://www.linkedin.com/in/venkata999,,,
michael-brule-bb626716,https://www.linkedin.com/in/michael-brule-bb626716,"[""Automating SQL Server with dbatools"",""Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services"",""Implementing a Data Warehouse SQL Server 2019""]",https://www.linkedin.com/in/michael-brule-bb626716,,,
yanjie-wang-9b666688,https://www.linkedin.com/in/yanjie-wang,"[""Text Analytics and Predictions with R Essential Training"",""Machine Learning with Logistic Regression in Excel, R, and Power BI"",""Machine Learning with Python: Association Rules""]",https://www.linkedin.com/in/yanjie-wang-9b666688,,,
tony-liberato-a084985,https://www.linkedin.com/in/tony-liberato-a084985,[],https://www.linkedin.com/in/tony-liberato-a084985,,,
edward-chavan,https://www.linkedin.com/in/edward-chavan,[],https://www.linkedin.com/in/edward-chavan,,,
echatt,https://www.linkedin.com/in/echatt,"[""Introduction to SuccessFactors Foundation Module"",""SAP Accounts Payable Boot Camp"",""Learning SAP Fiori: End User""]",https://www.linkedin.com/in/echatt,,,
brittany-pugh-960a16235,https://www.linkedin.com/in/brittany-pugh-960a16235,"[""Building Recommender Systems with Machine Learning and AI"",""TensorFlow 2.0: Working with Images"",""Computer Vision on the Raspberry Pi 4""]",https://www.linkedin.com/in/brittany-pugh-960a16235,,,
mehar-chaturvedi-917360132,https://www.linkedin.com/in/mehar-chaturvedi,"[""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""LinkedIn Learning Highlights: Data Science and Analytics"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/mehar-chaturvedi-917360132,,,
siva-posani-031600196,https://www.linkedin.com/in/siva-posani-031600196,[],https://www.linkedin.com/in/siva-posani-031600196,,,
srinivasrudraraju,https://www.linkedin.com/in/srinivasrudraraju,"[""Supervised Learning Essential Training"",""Machine Learning and AI Foundations: Clustering and Association"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/srinivasrudraraju,,,
aarushiverma,https://www.linkedin.com/in/aarushiverma,"[""SPSS Statistics Essential Training (2019)"",""More Python Tips, Tricks, and Techniques for Data Science"",""Machine Learning with Logistic Regression in Excel, R, and Power BI""]",https://www.linkedin.com/in/aarushiverma,,,
mogab,https://www.linkedin.com/in/mogab,"[""AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 3 Modeling"",""Wavelet Analysis: Concepts with Wolfram Language"",""Built-in Machine Learning in the Wolfram Language""]",https://www.linkedin.com/in/mogab,,,
